task,local_question_id,original_question_number,strategy,status,correct,parse_success,number_of_model_calls,prompt_tokens_total,completion_tokens_total,total_tokens_total,latency_seconds_total,energy_joules_total_if_available,tokens_percent_within_question,tokens_percent_within_task_so_far,tokens_percent_within_run_so_far
gsm8k,18,659,zero_shot_tot_k3,success,True,True,8,4714,2591,7305,61.7772,,47.1,3.14,0.98
gsm8k,19,660,greedy_io,success,True,True,1,108,503,611,10.4647,,3.66,0.26,0.08
gsm8k,19,660,greedy_cot,success,True,True,1,146,337,483,7.7728,,2.89,0.21,0.06
gsm8k,19,660,self_consistency_k5,success,True,True,5,730,1994,2724,43.8631,,16.33,1.15,0.36
gsm8k,19,660,best_of_n_k5_self_eval,success,True,True,10,3714,2346,6060,62.3653,,36.32,2.5,0.8
gsm8k,19,660,zero_shot_tot_k3,success,False,True,8,4300,2507,6807,60.6388,,40.8,2.73,0.89
gsm8k,20,661,greedy_io,success,True,True,1,92,428,520,9.1191,,3.22,0.21,0.07
gsm8k,20,661,greedy_cot,success,True,True,1,130,305,435,7.2479,,2.69,0.17,0.06
gsm8k,20,661,self_consistency_k5,success,True,True,5,650,1731,2381,39.8475,,14.74,0.94,0.31
gsm8k,20,661,best_of_n_k5_self_eval,success,True,True,10,3264,2057,5321,58.5799,,32.93,2.06,0.69
gsm8k,20,661,zero_shot_tot_k3,success,True,True,8,4570,2930,7500,67.5562,,46.42,2.82,0.96
gsm8k,21,662,greedy_io,success,False,True,1,137,304,441,7.1671,,3.14,0.17,0.06
gsm8k,21,662,greedy_cot,success,True,True,1,175,318,493,7.5989,,3.51,0.18,0.06
gsm8k,21,662,self_consistency_k5,success,True,True,5,875,1189,2064,31.2055,,14.67,0.77,0.26
gsm8k,21,662,best_of_n_k5_self_eval,success,False,True,10,3139,1482,4621,49.1047,,32.85,1.69,0.59
gsm8k,21,662,zero_shot_tot_k3,success,False,True,8,4050,2396,6446,59.1214,,45.83,2.3,0.81
gsm8k,22,663,greedy_io,success,False,False,1,107,70,177,3.7305,,1.48,0.06,0.02
gsm8k,22,663,greedy_cot,success,True,True,1,145,209,354,5.8174,,2.95,0.13,0.04
gsm8k,22,663,self_consistency_k5,success,True,True,5,725,1121,1846,30.251,,15.41,0.65,0.23
gsm8k,22,663,best_of_n_k5_self_eval,success,True,True,10,2632,1276,3908,45.9778,,32.62,1.37,0.49
gsm8k,22,663,zero_shot_tot_k3,success,True,True,8,3674,2022,5696,53.5012,,47.54,1.95,0.71
gsm8k,23,664,greedy_io,success,True,True,1,92,221,313,6.1963,,3.17,0.11,0.04
gsm8k,23,664,greedy_cot,success,True,True,1,130,183,313,5.6825,,3.17,0.11,0.04
gsm8k,23,664,self_consistency_k5,success,True,True,5,650,512,1162,20.5409,,11.79,0.4,0.14
gsm8k,23,664,best_of_n_k5_self_eval,success,False,True,10,2024,818,2842,38.5559,,28.83,0.96,0.35
gsm8k,23,664,zero_shot_tot_k3,success,True,True,8,3324,1905,5229,52.0634,,53.04,1.73,0.64
gsm8k,24,665,greedy_io,success,False,True,1,99,303,402,7.4872,,3.33,0.13,0.05
gsm8k,24,665,greedy_cot,success,True,True,1,137,166,303,5.3231,,2.51,0.1,0.04
gsm8k,24,665,self_consistency_k5,success,True,True,5,685,1217,1902,32.4526,,15.78,0.63,0.23
gsm8k,24,665,best_of_n_k5_self_eval,success,True,True,10,2494,1216,3710,45.4678,,30.77,1.21,0.45
gsm8k,24,665,zero_shot_tot_k3,success,False,True,8,3643,2097,5740,55.3911,,47.61,1.83,0.69
gsm8k,25,666,greedy_io,success,False,True,1,106,227,333,6.2651,,2.67,0.11,0.04
gsm8k,25,666,greedy_cot,success,True,True,1,144,167,311,5.4456,,2.49,0.1,0.04
gsm8k,25,666,self_consistency_k5,success,True,True,5,720,1140,1860,31.4107,,14.89,0.59,0.22
gsm8k,25,666,best_of_n_k5_self_eval,success,True,True,10,2705,1360,4065,47.6159,,32.54,1.27,0.49
gsm8k,25,666,zero_shot_tot_k3,success,False,True,8,3681,2243,5924,57.9597,,47.42,1.82,0.7
gsm8k,26,667,greedy_io,success,True,True,1,105,342,447,8.1647,,2.58,0.14,0.05
gsm8k,26,667,greedy_cot,success,True,True,1,143,405,548,9.1543,,3.17,0.17,0.06
gsm8k,26,667,self_consistency_k5,success,True,True,5,715,1904,2619,43.686,,15.13,0.79,0.31
gsm8k,26,667,best_of_n_k5_self_eval,success,False,True,10,3366,2026,5392,59.5829,,31.16,1.61,0.63
gsm8k,26,667,zero_shot_tot_k3,success,False,True,8,5202,3099,8301,72.5516,,47.96,2.42,0.97
gsm8k,27,668,greedy_io,success,False,True,1,89,7,96,2.7543,,1.03,0.03,0.01
gsm8k,27,668,greedy_cot,success,True,True,1,127,142,269,4.9522,,2.87,0.08,0.03
gsm8k,27,668,self_consistency_k5,success,True,True,5,635,842,1477,26.6447,,15.78,0.43,0.17
gsm8k,27,668,best_of_n_k5_self_eval,success,False,True,10,2193,1017,3210,42.7615,,34.29,0.92,0.37
gsm8k,27,668,zero_shot_tot_k3,success,True,True,8,2793,1517,4310,45.833,,46.04,1.22,0.5
gsm8k,28,669,greedy_io,success,True,True,1,91,181,272,5.4994,,2.61,0.08,0.03
gsm8k,28,669,greedy_cot,success,True,True,1,129,208,337,6.0291,,3.23,0.1,0.04
gsm8k,28,669,self_consistency_k5,success,True,True,5,645,1097,1742,30.8362,,16.71,0.49,0.2
gsm8k,28,669,best_of_n_k5_self_eval,success,True,True,10,2305,1105,3410,44.199,,32.71,0.95,0.39
gsm8k,28,669,zero_shot_tot_k3,success,True,True,8,2896,1767,4663,49.9841,,44.73,1.28,0.53
gsm8k,29,670,greedy_io,success,True,True,1,100,368,468,8.6839,,3.98,0.13,0.05
gsm8k,29,670,greedy_cot,success,True,True,1,138,219,357,6.2149,,3.04,0.1,0.04
gsm8k,29,670,self_consistency_k5,success,True,True,5,690,1232,1922,32.647,,16.34,0.53,0.22
gsm8k,29,670,best_of_n_k5_self_eval,success,True,True,10,2418,1133,3551,46.0082,,30.2,0.96,0.4
gsm8k,29,670,zero_shot_tot_k3,success,True,True,8,3515,1947,5462,53.4635,,46.45,1.46,0.61
gsm8k,30,671,greedy_io,success,True,True,1,96,167,263,5.3164,,2.74,0.07,0.03
gsm8k,30,671,greedy_cot,success,True,True,1,134,218,352,6.1293,,3.67,0.09,0.04
gsm8k,30,671,self_consistency_k5,success,True,True,5,670,878,1548,27.1788,,16.12,0.41,0.17
gsm8k,30,671,best_of_n_k5_self_eval,success,True,True,10,2150,905,3055,40.725,,31.81,0.8,0.34
gsm8k,30,671,zero_shot_tot_k3,success,True,True,8,2905,1480,4385,45.4988,,45.66,1.14,0.49
gsm8k,31,672,greedy_io,success,True,True,1,113,176,289,5.576,,2.3,0.08,0.03
gsm8k,31,672,greedy_cot,success,True,True,1,151,300,451,7.5745,,3.58,0.12,0.05
gsm8k,31,672,self_consistency_k5,success,False,True,5,755,1120,1875,31.3126,,14.9,0.48,0.21
gsm8k,31,672,best_of_n_k5_self_eval,success,True,True,10,2771,1354,4125,48.7741,,32.78,1.05,0.45
gsm8k,31,672,zero_shot_tot_k3,success,True,True,8,3879,1966,5845,60.0378,,46.44,1.47,0.64
gsm8k,32,673,greedy_io,success,False,True,1,125,426,551,12.2952,,3.16,0.14,0.06
gsm8k,32,673,greedy_cot,success,False,True,1,163,322,485,10.6921,,2.78,0.12,0.05
gsm8k,32,673,self_consistency_k5,success,False,True,5,815,1742,2557,56.3414,,14.65,0.64,0.28
gsm8k,32,673,best_of_n_k5_self_eval,success,False,True,10,3512,1973,5485,105.0847,,31.43,1.35,0.59
gsm8k,32,673,zero_shot_tot_k3,success,False,True,8,5180,3191,8371,93.2279,,47.97,2.02,0.9
gsm8k,33,674,greedy_io,success,True,True,1,77,201,278,9.2626,,2.52,0.07,0.03
gsm8k,33,674,greedy_cot,success,True,True,1,115,207,322,10.4447,,2.92,0.08,0.03
gsm8k,33,674,self_consistency_k5,success,True,True,5,575,1115,1690,44.3067,,15.32,0.41,0.18
gsm8k,33,674,best_of_n_k5_self_eval,success,True,True,10,2190,1134,3324,69.8483,,30.13,0.79,0.36
gsm8k,33,674,zero_shot_tot_k3,success,True,True,8,3332,2085,5417,68.8622,,49.11,1.27,0.58
gsm8k,34,675,greedy_io,success,True,True,1,89,235,324,9.6575,,2.68,0.08,0.03
gsm8k,34,675,greedy_cot,success,False,True,1,127,141,268,7.8649,,2.22,0.06,0.03
gsm8k,34,675,self_consistency_k5,success,True,True,5,635,1257,1892,45.7258,,15.64,0.44,0.2
gsm8k,34,675,best_of_n_k5_self_eval,success,True,True,10,2464,1289,3753,79.0016,,31.02,0.87,0.4
gsm8k,34,675,zero_shot_tot_k3,success,True,True,8,3682,2179,5861,70.7794,,48.45,1.34,0.61
gsm8k,35,676,greedy_io,success,False,True,1,149,7,156,5.7054,,0.89,0.04,0.02
gsm8k,35,676,greedy_cot,success,False,True,1,187,265,452,11.6955,,2.57,0.1,0.05
gsm8k,35,676,self_consistency_k5,success,False,True,5,935,1886,2821,54.3977,,16.06,0.64,0.29
gsm8k,35,676,best_of_n_k5_self_eval,success,False,True,10,3584,1807,5391,112.021,,30.69,1.21,0.56
gsm8k,35,676,zero_shot_tot_k3,success,False,True,8,5541,3206,8747,97.1812,,49.79,1.92,0.9
gsm8k,36,677,greedy_io,success,True,True,1,105,317,422,11.4234,,2.87,0.09,0.04
gsm8k,36,677,greedy_cot,success,True,True,1,143,347,490,14.7027,,3.33,0.11,0.05
gsm8k,36,677,self_consistency_k5,success,True,True,5,715,1818,2533,68.0455,,17.23,0.55,0.26
gsm8k,36,677,best_of_n_k5_self_eval,success,True,True,10,3054,1719,4773,103.0916,,32.46,1.03,0.49
gsm8k,36,677,zero_shot_tot_k3,success,False,True,8,4139,2346,6485,89.4113,,44.11,1.38,0.66
strategyqa,1,326,greedy_io,success,True,True,1,60,2,62,5.9839,,0.52,100.0,0.01
strategyqa,1,326,greedy_cot,success,True,True,1,98,172,270,12.2603,,2.26,81.33,0.03
strategyqa,1,326,self_consistency_k5,success,True,True,5,490,779,1269,35.4396,,10.63,79.26,0.13
strategyqa,1,326,best_of_n_k5_self_eval,success,True,True,10,1705,830,2535,55.9521,,21.23,61.29,0.26
strategyqa,1,326,zero_shot_tot_k3,success,False,False,8,4732,3075,7807,94.413,,65.37,65.37,0.78
strategyqa,2,327,greedy_io,success,False,True,1,61,2,63,4.7804,,0.43,0.52,0.01
strategyqa,2,327,greedy_cot,success,False,True,1,99,184,283,14.718,,1.93,2.3,0.03
strategyqa,2,327,self_consistency_k5,success,False,True,5,495,1277,1772,49.9563,,12.1,12.6,0.18
strategyqa,2,327,best_of_n_k5_self_eval,success,False,True,10,2522,1634,4156,74.9888,,28.38,22.81,0.41
strategyqa,2,327,zero_shot_tot_k3,success,False,False,8,5078,3291,8369,95.4021,,57.15,31.48,0.83
strategyqa,3,328,greedy_io,success,False,True,1,60,2,62,5.9995,,0.54,0.23,0.01
strategyqa,3,328,greedy_cot,success,False,True,1,98,99,197,8.7754,,1.72,0.73,0.02
strategyqa,3,328,self_consistency_k5,success,False,True,5,490,665,1155,36.4682,,10.07,4.12,0.11
strategyqa,3,328,best_of_n_k5_self_eval,success,False,True,10,1597,721,2318,51.5326,,20.21,7.65,0.23
strategyqa,3,328,zero_shot_tot_k3,success,False,True,8,4808,2931,7739,91.4696,,67.47,20.34,0.76
strategyqa,4,329,greedy_io,success,True,True,1,62,5,67,2.8242,,0.78,0.18,0.01
strategyqa,4,329,greedy_cot,success,True,True,1,100,135,235,9.8251,,2.75,0.61,0.02
strategyqa,4,329,self_consistency_k5,success,True,True,5,500,547,1047,30.4239,,12.23,2.66,0.1
strategyqa,4,329,best_of_n_k5_self_eval,success,True,True,10,1550,655,2205,55.0947,,25.76,5.3,0.21
strategyqa,4,329,zero_shot_tot_k3,success,False,True,8,3232,1775,5007,64.9812,,58.49,10.74,0.48
strategyqa,5,330,greedy_io,success,True,True,1,59,2,61,4.6152,,0.68,0.13,0.01
strategyqa,5,330,greedy_cot,success,True,True,1,97,117,214,10.2741,,2.37,0.46,0.02
strategyqa,5,330,self_consistency_k5,success,True,True,5,485,589,1074,30.3101,,11.91,2.24,0.1
strategyqa,5,330,best_of_n_k5_self_eval,success,True,True,10,1454,589,2043,46.4134,,22.66,4.09,0.2
strategyqa,5,330,zero_shot_tot_k3,success,True,True,8,3458,2166,5624,73.5073,,62.38,10.11,0.54
strategyqa,6,331,greedy_io,success,True,True,1,56,5,61,6.4475,,0.61,0.11,0.01
strategyqa,6,331,greedy_cot,success,True,True,1,94,145,239,11.8732,,2.38,0.43,0.02
strategyqa,6,331,self_consistency_k5,success,True,True,5,470,843,1313,38.8537,,13.05,2.29,0.13
strategyqa,6,331,best_of_n_k5_self_eval,success,True,True,10,1771,936,2707,60.369,,26.91,4.52,0.26
strategyqa,6,331,zero_shot_tot_k3,success,True,True,8,3559,2179,5738,61.3301,,57.05,8.73,0.55
strategyqa,7,332,greedy_io,success,False,True,1,63,2,65,2.8707,,0.64,0.1,0.01
strategyqa,7,332,greedy_cot,success,False,True,1,101,119,220,5.0411,,2.15,0.33,0.02
strategyqa,7,332,self_consistency_k5,success,False,True,5,505,949,1454,29.7795,,14.23,2.16,0.14
strategyqa,7,332,best_of_n_k5_self_eval,success,False,True,10,1733,828,2561,43.326,,25.07,3.66,0.24
strategyqa,7,332,zero_shot_tot_k3,success,False,True,8,3755,2160,5915,60.7087,,57.91,7.79,0.56
strategyqa,8,333,greedy_io,success,True,True,1,63,2,65,2.9225,,0.66,0.09,0.01
strategyqa,8,333,greedy_cot,success,True,True,1,101,103,204,4.7048,,2.07,0.27,0.02
strategyqa,8,333,self_consistency_k5,success,True,True,5,505,531,1036,22.2637,,10.52,1.34,0.1
strategyqa,8,333,best_of_n_k5_self_eval,success,True,True,10,1524,619,2143,38.1165,,21.76,2.7,0.2
strategyqa,8,333,zero_shot_tot_k3,success,True,True,8,3908,2493,6401,67.6828,,64.99,7.46,0.6
strategyqa,9,334,greedy_io,success,True,True,1,58,2,60,2.6378,,0.49,0.07,0.01
strategyqa,9,334,greedy_cot,success,True,True,1,96,140,236,5.0825,,1.91,0.27,0.02
strategyqa,9,334,self_consistency_k5,success,True,True,5,480,910,1390,29.7198,,11.26,1.59,0.13
strategyqa,9,334,best_of_n_k5_self_eval,success,True,True,10,1775,914,2689,45.0417,,21.79,2.98,0.25
strategyqa,9,334,zero_shot_tot_k3,success,True,True,8,5028,2938,7966,74.8084,,64.55,8.12,0.73
strategyqa,10,335,greedy_io,success,False,True,1,60,2,62,2.6115,,0.54,0.06,0.01
strategyqa,10,335,greedy_cot,success,False,True,1,98,156,254,5.4544,,2.23,0.26,0.02
strategyqa,10,335,self_consistency_k5,success,False,True,5,490,814,1304,28.4824,,11.45,1.31,0.12
strategyqa,10,335,best_of_n_k5_self_eval,success,False,True,10,1635,760,2395,42.499,,21.03,2.35,0.22
strategyqa,10,335,zero_shot_tot_k3,success,False,True,8,4462,2910,7372,75.7389,,64.74,6.73,0.67
strategyqa,11,336,greedy_io,success,True,True,1,57,5,62,2.6149,,0.57,0.06,0.01
strategyqa,11,336,greedy_cot,success,True,True,1,95,198,293,6.1918,,2.69,0.27,0.03
strategyqa,11,336,self_consistency_k5,success,True,True,5,475,836,1311,28.7861,,12.02,1.18,0.12
strategyqa,11,336,best_of_n_k5_self_eval,success,True,True,10,1777,932,2709,45.3223,,24.84,2.38,0.25
strategyqa,11,336,zero_shot_tot_k3,success,True,True,8,4050,2481,6531,66.4026,,59.88,5.42,0.59
strategyqa,12,337,greedy_io,success,False,True,1,68,2,70,2.6198,,0.53,0.06,0.01
strategyqa,12,337,greedy_cot,success,False,True,1,106,216,322,6.2928,,2.45,0.27,0.03
strategyqa,12,337,self_consistency_k5,success,False,True,5,530,1122,1652,33.5912,,12.57,1.35,0.15
strategyqa,12,337,best_of_n_k5_self_eval,success,False,False,10,2312,1355,3667,52.6377,,27.89,2.91,0.33
strategyqa,12,337,zero_shot_tot_k3,success,True,True,8,4657,2778,7435,72.3874,,56.56,5.57,0.66
strategyqa,13,338,greedy_io,success,True,True,1,56,2,58,2.7942,,0.71,0.04,0.01
strategyqa,13,338,greedy_cot,success,True,True,1,94,64,158,3.9118,,1.93,0.12,0.01
strategyqa,13,338,self_consistency_k5,success,True,True,5,470,419,889,19.3068,,10.86,0.66,0.08
strategyqa,13,338,best_of_n_k5_self_eval,success,True,True,10,1313,478,1791,34.6579,,21.88,1.31,0.16
strategyqa,13,338,zero_shot_tot_k3,success,True,True,8,3384,1905,5289,56.6957,,64.62,3.73,0.47
strategyqa,14,339,greedy_io,success,False,True,1,63,2,65,2.9167,,0.49,0.05,0.01
strategyqa,14,339,greedy_cot,success,False,True,1,101,163,264,5.5999,,1.97,0.19,0.02
strategyqa,14,339,self_consistency_k5,success,False,True,5,505,892,1397,30.0952,,10.45,0.97,0.12
strategyqa,14,339,best_of_n_k5_self_eval,success,False,True,10,1883,978,2861,46.4433,,21.39,1.96,0.25
strategyqa,14,339,zero_shot_tot_k3,success,False,True,8,5361,3425,8786,83.5954,,65.7,5.66,0.77
strategyqa,15,340,greedy_io,success,True,True,1,63,2,65,2.8309,,0.56,0.04,0.01
strategyqa,15,340,greedy_cot,success,True,True,1,101,294,395,7.9117,,3.4,0.25,0.03
strategyqa,15,340,self_consistency_k5,success,True,True,5,505,1243,1748,35.9005,,15.04,1.11,0.15
strategyqa,15,340,best_of_n_k5_self_eval,success,True,True,10,1961,1056,3017,48.2798,,25.95,1.88,0.26
strategyqa,15,340,zero_shot_tot_k3,success,True,True,8,3979,2421,6400,66.2478,,55.05,3.84,0.56
strategyqa,16,341,greedy_io,success,True,True,1,57,2,59,2.903,,0.65,0.04,0.01
strategyqa,16,341,greedy_cot,success,True,True,1,95,175,270,5.9604,,2.98,0.16,0.02
strategyqa,16,341,self_consistency_k5,success,True,True,5,475,649,1124,26.1942,,12.41,0.67,0.1
strategyqa,16,341,best_of_n_k5_self_eval,success,True,True,10,1489,642,2131,39.4848,,23.52,1.25,0.18
strategyqa,16,341,zero_shot_tot_k3,success,True,True,8,3455,2021,5476,59.181,,60.44,3.12,0.47
strategyqa,17,342,greedy_io,success,True,True,1,58,5,63,2.7532,,0.49,0.04,0.01
strategyqa,17,342,greedy_cot,success,True,True,1,96,205,301,6.3982,,2.34,0.17,0.03
strategyqa,17,342,self_consistency_k5,success,True,True,5,480,1122,1602,34.1028,,12.47,0.9,0.14
strategyqa,17,342,best_of_n_k5_self_eval,success,True,True,10,2073,1218,3291,51.8241,,25.62,1.82,0.28
strategyqa,17,342,zero_shot_tot_k3,success,True,True,8,4645,2942,7587,75.6669,,59.07,4.02,0.65
strategyqa,18,343,greedy_io,success,True,True,1,61,2,63,2.8491,,0.43,0.03,0.01
strategyqa,18,343,greedy_cot,success,True,True,1,99,245,344,7.4979,,2.37,0.18,0.03
strategyqa,18,343,self_consistency_k5,success,True,True,5,495,1232,1727,36.0271,,11.9,0.91,0.15
strategyqa,18,343,best_of_n_k5_self_eval,success,True,True,10,2168,1276,3444,52.5934,,23.74,1.77,0.29
strategyqa,18,343,zero_shot_tot_k3,success,False,False,8,5345,3584,8929,87.7713,,61.55,4.4,0.75
strategyqa,19,344,greedy_io,success,False,True,1,56,2,58,3.0478,,0.4,0.03,0.0
strategyqa,19,344,greedy_cot,success,False,True,1,94,209,303,6.6429,,2.11,0.15,0.03
strategyqa,19,344,self_consistency_k5,success,False,True,5,470,1370,1840,38.679,,12.83,0.9,0.15
strategyqa,19,344,best_of_n_k5_self_eval,success,False,True,10,2117,1279,3396,52.9389,,23.68,1.63,0.28
strategyqa,19,344,zero_shot_tot_k3,success,False,False,8,5303,3442,8745,84.9374,,60.97,4.02,0.73
strategyqa,20,345,greedy_io,success,False,True,1,60,2,62,2.7885,,0.62,0.03,0.01
strategyqa,20,345,greedy_cot,success,True,True,1,98,164,262,5.9776,,2.61,0.12,0.02
strategyqa,20,345,self_consistency_k5,success,False,True,5,490,657,1147,26.4155,,11.42,0.52,0.1
strategyqa,20,345,best_of_n_k5_self_eval,success,True,True,10,1631,756,2387,43.6366,,23.76,1.08,0.2
strategyqa,20,345,zero_shot_tot_k3,success,True,True,8,3910,2280,6190,64.3616,,61.6,2.72,0.51
strategyqa,21,346,greedy_io,success,True,True,1,63,2,65,3.004,,0.47,0.03,0.01
strategyqa,21,346,greedy_cot,success,True,True,1,101,207,308,6.7055,,2.25,0.14,0.03
strategyqa,21,346,self_consistency_k5,success,True,True,5,505,1162,1667,35.1754,,12.17,0.73,0.14
strategyqa,21,346,best_of_n_k5_self_eval,success,True,True,10,2089,1184,3273,51.842,,23.9,1.41,0.27
strategyqa,21,346,zero_shot_tot_k3,success,True,True,8,5157,3222,8379,81.1792,,61.2,3.47,0.68
strategyqa,22,347,greedy_io,success,True,True,1,62,2,64,2.8111,,0.56,0.03,0.01
strategyqa,22,347,greedy_cot,success,True,True,1,100,128,228,5.1029,,2.0,0.09,0.02
strategyqa,22,347,self_consistency_k5,success,True,True,5,500,1071,1571,33.5847,,13.8,0.65,0.13
strategyqa,22,347,best_of_n_k5_self_eval,success,True,True,10,1858,963,2821,47.8443,,24.79,1.15,0.23
strategyqa,22,347,zero_shot_tot_k3,success,False,True,8,4215,2481,6696,67.3373,,58.84,2.65,0.54
strategyqa,23,348,greedy_io,success,False,True,1,54,2,56,2.8444,,0.54,0.02,0.0
strategyqa,23,348,greedy_cot,success,False,True,1,92,143,235,4.745,,2.27,0.09,0.02
strategyqa,23,348,self_consistency_k5,success,False,True,5,460,677,1137,25.9797,,10.98,0.45,0.09
strategyqa,23,348,best_of_n_k5_self_eval,success,False,True,10,1638,823,2461,44.3727,,23.77,0.96,0.2
strategyqa,23,348,zero_shot_tot_k3,success,False,True,8,4059,2407,6466,66.2945,,62.44,2.46,0.52
strategyqa,24,349,greedy_io,success,False,True,1,64,2,66,2.7073,,0.57,0.03,0.01
strategyqa,24,349,greedy_cot,success,False,True,1,102,202,304,6.4581,,2.65,0.12,0.02
strategyqa,24,349,self_consistency_k5,success,False,True,5,510,971,1481,32.2565,,12.89,0.56,0.12
strategyqa,24,349,best_of_n_k5_self_eval,success,False,True,10,2024,1109,3133,51.1003,,27.27,1.17,0.25
strategyqa,24,349,zero_shot_tot_k3,success,True,True,8,3952,2554,6506,70.1638,,56.62,2.37,0.52
strategyqa,25,350,greedy_io,success,False,True,1,59,2,61,2.9254,,0.52,0.02,0.0
strategyqa,25,350,greedy_cot,success,False,True,1,97,182,279,6.1351,,2.36,0.1,0.02
strategyqa,25,350,self_consistency_k5,success,False,True,5,485,970,1455,32.4204,,12.29,0.53,0.12
strategyqa,25,350,best_of_n_k5_self_eval,success,False,True,10,1721,853,2574,45.6872,,21.73,0.92,0.2
strategyqa,25,350,zero_shot_tot_k3,success,False,True,8,4667,2807,7474,73.2271,,63.11,2.61,0.59
strategyqa,26,351,greedy_io,success,True,True,1,57,2,59,3.0746,,0.46,0.02,0.0
strategyqa,26,351,greedy_cot,success,True,True,1,95,89,184,4.762,,1.42,0.06,0.01
strategyqa,26,351,self_consistency_k5,success,True,True,5,475,975,1450,31.3204,,11.2,0.5,0.11
strategyqa,26,351,best_of_n_k5_self_eval,success,True,True,10,1799,954,2753,49.3174,,21.27,0.95,0.22
strategyqa,26,351,zero_shot_tot_k3,success,True,True,8,5123,3376,8499,84.1854,,65.65,2.84,0.66
strategyqa,27,352,greedy_io,success,True,True,1,65,2,67,3.2372,,0.62,0.02,0.01
strategyqa,27,352,greedy_cot,success,True,True,1,103,108,211,4.9566,,1.95,0.07,0.02
strategyqa,27,352,self_consistency_k5,success,True,True,5,515,707,1222,26.6017,,11.28,0.41,0.09
strategyqa,27,352,best_of_n_k5_self_eval,success,True,True,10,1541,616,2157,42.1593,,19.92,0.71,0.17
strategyqa,27,352,zero_shot_tot_k3,success,True,True,8,4485,2689,7174,71.9867,,66.24,2.31,0.55
strategyqa,28,353,greedy_io,success,True,True,1,62,2,64,3.3073,,0.85,0.02,0.0
strategyqa,28,353,greedy_cot,success,True,True,1,100,83,183,4.4022,,2.43,0.06,0.01
strategyqa,28,353,self_consistency_k5,success,True,True,5,500,665,1165,24.7199,,15.48,0.37,0.09
strategyqa,28,353,best_of_n_k5_self_eval,success,True,True,10,1541,643,2184,42.9428,,29.02,0.7,0.17
strategyqa,28,353,zero_shot_tot_k3,success,True,True,8,2526,1404,3930,48.9681,,52.22,1.24,0.3
strategyqa,29,354,greedy_io,success,True,True,1,69,2,71,3.4231,,0.57,0.02,0.01
strategyqa,29,354,greedy_cot,success,True,True,1,107,336,443,9.2513,,3.57,0.14,0.03
strategyqa,29,354,self_consistency_k5,success,True,True,5,535,1012,1547,33.3722,,12.46,0.48,0.12
strategyqa,29,354,best_of_n_k5_self_eval,success,True,True,10,2168,1200,3368,53.972,,27.14,1.04,0.26
strategyqa,29,354,zero_shot_tot_k3,success,True,True,8,4399,2583,6982,70.371,,56.26,2.12,0.53
strategyqa,30,355,greedy_io,success,True,True,1,59,5,64,3.3561,,0.45,0.02,0.0
strategyqa,30,355,greedy_cot,success,True,True,1,97,358,455,9.2522,,3.21,0.14,0.03
strategyqa,30,355,self_consistency_k5,success,True,True,5,485,1084,1569,34.7109,,11.08,0.47,0.12
strategyqa,30,355,best_of_n_k5_self_eval,success,True,True,10,2090,1225,3315,55.7247,,23.42,0.99,0.25
strategyqa,30,355,zero_shot_tot_k3,success,False,False,8,5329,3425,8754,86.2693,,61.84,2.54,0.66
strategyqa,31,356,greedy_io,success,False,True,1,65,2,67,2.8457,,0.51,0.02,0.01
strategyqa,31,356,greedy_cot,success,False,True,1,103,227,330,6.923,,2.51,0.1,0.02
strategyqa,31,356,self_consistency_k5,success,False,True,5,515,987,1502,33.1791,,11.44,0.43,0.11
strategyqa,31,356,best_of_n_k5_self_eval,success,False,True,10,2139,1214,3353,52.9681,,25.54,0.96,0.25
strategyqa,31,356,zero_shot_tot_k3,success,True,True,8,4840,3037,7877,79.515,,60.0,2.2,0.59
strategyqa,32,357,greedy_io,success,False,True,1,57,2,59,2.7992,,0.67,0.02,0.0
strategyqa,32,357,greedy_cot,success,False,True,1,95,79,174,4.493,,1.97,0.05,0.01
strategyqa,32,357,self_consistency_k5,success,False,True,5,475,695,1170,27.0428,,13.27,0.33,0.09
strategyqa,32,357,best_of_n_k5_self_eval,success,False,True,10,1483,638,2121,42.7742,,24.06,0.59,0.16
strategyqa,32,357,zero_shot_tot_k3,success,False,True,8,3150,2140,5290,62.7675,,60.02,1.44,0.39
strategyqa,33,358,greedy_io,success,True,True,1,56,2,58,3.1305,,0.74,0.02,0.0
strategyqa,33,358,greedy_cot,success,True,True,1,94,110,204,5.0363,,2.61,0.06,0.02
strategyqa,33,358,self_consistency_k5,success,True,True,5,470,570,1040,25.0925,,13.3,0.28,0.08
strategyqa,33,358,best_of_n_k5_self_eval,success,True,True,10,1417,582,1999,41.7474,,25.57,0.54,0.15
strategyqa,33,358,zero_shot_tot_k3,success,True,True,8,2891,1627,4518,53.3304,,57.78,1.21,0.33
strategyqa,34,359,greedy_io,success,True,True,1,58,2,60,3.2946,,0.6,0.02,0.0
strategyqa,34,359,greedy_cot,success,True,True,1,96,154,250,5.9893,,2.49,0.07,0.02
strategyqa,34,359,self_consistency_k5,success,True,True,5,480,621,1101,26.6234,,10.95,0.29,0.08
strategyqa,34,359,best_of_n_k5_self_eval,success,True,True,10,1489,633,2122,42.2588,,21.11,0.56,0.16
strategyqa,34,359,zero_shot_tot_k3,success,False,True,8,3901,2617,6518,71.5569,,64.85,1.7,0.48
strategyqa,35,360,greedy_io,success,True,True,1,62,2,64,3.0146,,0.56,0.02,0.0
